name,averageMs,medianMs,percentage,layer,subpath,has_conv,has_Q,has_SiLU,has_PWN,reformat,role,q_folded_into_conv,engine
__myl_MulMinMaxRounCast_myl0_0,0.00771835,0.00768,0.410286,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.0.conv.weight + /model.0/conv/weight_quantizer/QuantizeLinear + /model.0/conv/Conv + PWN(/model.0/act/Sigmoid, /model.0/act/Mul)",0.016717,0.01664,0.888631,model.0,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.1.conv.weight + /model.1/conv/weight_quantizer/QuantizeLinear + /model.1/conv/Conv + PWN(/model.1/act/Sigmoid, /model.1/act/Mul)",0.0126006,0.012576,0.669812,model.1,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.2.cv1.conv.weight + /model.2/cv1/conv/weight_quantizer/QuantizeLinear + /model.2/cv1/conv/Conv,0.0117485,0.01168,0.624517,model.2,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.2/cv1/act/Sigmoid, /model.2/cv1/act/Mul)",0.00760582,0.007584,0.404304,model.2,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_MulMinMaxRounCastReplConcReshTran_myl5_0,0.00804408,0.008032,0.427601,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.2.m.0.cv1.conv.weight + /model.2/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.2/m.0/cv1/conv/Conv + PWN(/model.2/m.0/cv1/act/Sigmoid, /model.2/m.0/cv1/act/Mul)",0.0119684,0.011904,0.636208,model.2,m.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.2.m.0.cv2.conv.weight + /model.2/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.2/m.0/cv2/conv/Conv,0.0130645,0.013056,0.69447,model.2,m.0/cv2,True,True,False,False,False,conv-only,True,QAT
__myl_MulMinMaxRounCast_myl8_0,0.00670254,0.006656,0.356288,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"PWN(PWN(/model.2/m.0/cv2/act/Sigmoid, /model.2/m.0/cv2/act/Mul), /model.2/m.0/Add)",0.0075799,0.007552,0.402926,model.2,m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_MulMinMaxRounCast_myl10_0,0.00685178,0.006816,0.364221,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
__myl_Move_myl11_0,0.006661,0.006624,0.35408,NMS/foreign,,False,False,False,False,False,other,False,QAT
"Reformatting CopyNode for Input Tensor 0 to model.2.cv2.conv.weight + /model.2/cv2/conv/weight_quantizer/QuantizeLinear + /model.2/cv2/conv/Conv + PWN(/model.2/cv2/act/Sigmoid, /model.2/cv2/act/Mul)",0.0120926,0.012,0.64281,model.2,cv2,True,True,True,True,True,reformat,True,QAT
"model.2.cv2.conv.weight + /model.2/cv2/conv/weight_quantizer/QuantizeLinear + /model.2/cv2/conv/Conv + PWN(/model.2/cv2/act/Sigmoid, /model.2/cv2/act/Mul)",0.0117209,0.01168,0.623052,model.2,cv2,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.3.conv.weight + /model.3/conv/weight_quantizer/QuantizeLinear + /model.3/conv/Conv + PWN(/model.3/act/Sigmoid, /model.3/act/Mul)",0.0114019,0.011392,0.606091,model.3,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.4.cv1.conv.weight + /model.4/cv1/conv/weight_quantizer/QuantizeLinear + /model.4/cv1/conv/Conv,0.00845863,0.008416,0.449637,model.4,cv1,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.4/cv1/act/Sigmoid, /model.4/cv1/act/Mul)",0.00664931,0.006624,0.353458,model.4,cv1,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl17_0,0.00612453,0.006112,0.325563,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.4.m.0.cv1.conv.weight + /model.4/m.0/cv1/conv/weight_quantizer/QuantizeLinear + /model.4/m.0/cv1/conv/Conv + PWN(/model.4/m.0/cv1/act/Sigmoid, /model.4/m.0/cv1/act/Mul)",0.0101812,0.010176,0.541204,model.4,m.0/cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
model.4.m.0.cv2.conv.weight + /model.4/m.0/cv2/conv/weight_quantizer/QuantizeLinear + /model.4/m.0/cv2/conv/Conv,0.00984503,0.009824,0.523334,model.4,m.0/cv2,True,True,False,False,False,conv-only,True,QAT
__myl_CastMulMinMaxRounCast_myl20_0,0.00680444,0.006752,0.361705,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"PWN(PWN(/model.4/m.0/cv2/act/Sigmoid, /model.4/m.0/cv2/act/Mul), /model.4/m.0/Add)",0.0071384,0.007104,0.379457,model.4,m.0/cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCastResh_myl22_0,0.00610171,0.00608,0.32435,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
/model.4/Concat_/model.4/Slice_output_0_clone_0 copy,0.00629623,0.00624,0.33469,model.4,,False,False,False,False,False,other,False,QAT
model.4.cv2.conv.weight + /model.4/cv2/conv/weight_quantizer/QuantizeLinear + /model.4/cv2/conv/Conv,0.00944263,0.009408,0.501944,model.4,cv2,True,True,False,False,False,conv-only,True,QAT
"PWN(/model.4/cv2/act/Sigmoid, /model.4/cv2/act/Mul)",0.00724059,0.0072,0.384889,model.4,cv2,False,False,True,True,False,standalone-SiLU,False,QAT
__myl_CastMulMinMaxRounCast_myl26_0,0.00641833,0.0064,0.341181,NMS/foreign,,False,True,False,False,False,pure Q/DQ (standalone),False,QAT
"model.5.conv.weight + /model.5/conv/weight_quantizer/QuantizeLinear + /model.5/conv/Conv + PWN(/model.5/act/Sigmoid, /model.5/act/Mul)",0.0116152,0.011584,0.61743,model.5,conv,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
"model.6.cv1.conv.weight + /model.6/cv1/conv/weight_quantizer/QuantizeLinear + /model.6/cv1/conv/Conv + PWN(/model.6/cv1/act/Sigmoid, /model.6/cv1/act/Mul)",0.00862178,0.008608,0.45831,model.6,cv1,True,True,True,True,False,"conv+SiLU (fused, Q folded in)",True,QAT
